PCN,ISSUED,LOCATION,CONTRAVENTION,FINE,Last Pay Date,Total Paid,Balance,
LS17718208,15/03/2022,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,29/03/2022,25,0,
LS17718219,15/03/2022,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,15/03/2022,0,0,
LS1771822A,15/03/2022,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,15/03/2022,25,0,
LS1771822A,15/03/2022,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,16/03/2022,25,0,
LS17718230,15/03/2022,BURLEY ROAD CP - CITY,73 PARKED WITHOUT PAYMENT,50,15/03/2022,25,0,
LS17718230,15/03/2022,BURLEY ROAD CP - CITY,73 PARKED WITHOUT PAYMENT,50,24/03/2022,25,0,
LS17718241,15/03/2022,BURLEY ROAD CP - CITY,73 PARKED WITHOUT PAYMENT,50,22/03/2022,25,0,
LS18448641,15/03/2022,PLAYHOUSE SQUARE CP - CITY,86 BEYOND THE BAY MARKINGS                        ,50,15/03/2022,25,0,
LS18448641,15/03/2022,PLAYHOUSE SQUARE CP - CITY,86 BEYOND THE BAY MARKINGS                        ,50,28/03/2022,25,0,
LS20318897,15/03/2022,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,24/03/2022,25,0,
LS20318922,15/03/2022,INTERNATIONAL POOL CP - CITY,73 PARKED WITHOUT PAYMENT,50,15/03/2022,25,0,
LS22825896,15/03/2022,INTERNATIONAL POOL CP - CITY,73 PARKED WITHOUT PAYMENT,50,15/03/2022,100,0,
LS2282590A,15/03/2022,INTERNATIONAL POOL CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,15/03/2022,0,0,
LS24225867,15/03/2022,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,15/03/2022,0,0,
LS24225878,15/03/2022,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,15/03/2022,25,0,
LS24225878,15/03/2022,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,17/03/2022,25,0,
LS24225878,15/03/2022,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,18/03/2022,25,0,
LS24225889,15/03/2022,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,15/03/2022,0,50,
LS2422589A,15/03/2022,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,15/03/2022,25,0,
LS17718208,15/03/2022,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,28/03/2022,25,0,
