PCN,ISSUED,LOCATION,CONTRAVENTION,FINE,Last Pay Date,Total Paid,Balance,
LS25613781,22/03/2022,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,31/03/2022,25,0,
LS17718886,23/03/2022,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,23/03/2022,25,0,
LS17718886,23/03/2022,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,28/03/2022,25,0,
LS17718911,23/03/2022,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,27/03/2022,25,0,
LS24523151,23/03/2022,BEECH HILL CP - OTLEY,73 PARKED WITHOUT PAYMENT,50,23/03/2022,0,50,
LS24523173,23/03/2022,COURTHOUSE STREET CP - OTLEY,73 PARKED WITHOUT PAYMENT,50,23/03/2022,25,0,
LS24523195,23/03/2022,COURTHOUSE STREET CP - OTLEY,73 PARKED WITHOUT PAYMENT,50,23/03/2022,0,50,
LS2452321A,23/03/2022,COURTHOUSE STREET CP - OTLEY,73 PARKED WITHOUT PAYMENT,50,23/03/2022,0,50,
LS17718875,23/03/2022,WEST STREET CP - CITY,91 PARKED IN AREA NOT FOR THAT CLASS OF VEHICLE,70,23/03/2022,0,70,
LS17718886,23/03/2022,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,25/03/2022,25,0,
LS17718897,23/03/2022,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,23/03/2022,0,0,
LS17718900,23/03/2022,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,23/03/2022,0,50,
LS17718911,23/03/2022,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,23/03/2022,25,0,
