PCN,ISSUED,LOCATION,CONTRAVENTION,FINE,Last Pay Date,Total Paid,Balance,
LS11518352,21/09/2017,NORTH PARADE CP - OTLEY,83 WITHOUT DISPLAYING A VALID TICKET,50,20/10/2021,815,0,
LS11518352,21/09/2017,NORTH PARADE CP - OTLEY,83 WITHOUT DISPLAYING A VALID TICKET,50,08/12/2021,815,0,
LS06821908,02/01/2018,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,19/11/2021,25,0,
LS06821908,02/01/2018,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,23/11/2021,25,0,
LS07833855,07/11/2019,PLAYHOUSE SQUARE CP - CITY,86 BEYOND THE BAY MARKINGS                        ,50,02/11/2021,0,0,
LS05794264,01/12/2019,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,04/10/2021,25,0,
LS11795035,04/12/2019,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/12/2021,12.47,70.53,
LS11795035,04/12/2019,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,06/12/2021,12.47,70.53,
LS05250980,06/12/2019,SPRINGFIELD ROAD CP - GUISELEY                              ,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,15/10/2021,58.73,24.27,
LS05250980,06/12/2019,SPRINGFIELD ROAD CP - GUISELEY                              ,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,16/12/2021,58.73,24.27,
LS11795975,10/12/2019,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,22/10/2021,8,75,
LS25903908,28/07/2020,BECKETT ST UPPER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,27/10/2021,50.9,32.1,
LS25903908,28/07/2020,BECKETT ST UPPER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,29/10/2021,50.9,32.1,
LS25903908,28/07/2020,BECKETT ST UPPER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,01/10/2021,50.9,32.1,
LS25903908,28/07/2020,BECKETT ST UPPER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,07/10/2021,50.9,32.1,
LS22400252,14/08/2020,ALBION STREET CP - MORLEY                                   ,86 BEYOND THE BAY MARKINGS                        ,50,01/10/2021,83,0,
LS24406941,28/08/2020,HIGH STREET CP - MORLEY                                     ,87 IN DISABLED BAY WITHOUT BADGE,70,02/11/2021,0,0,
LS20510227,19/09/2020,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,17/12/2021,83,0,
LS24809358,12/10/2020,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,17/12/2021,83,0,
