PCN,ISSUED,LOCATION,CONTRAVENTION,FINE,Last Pay Date,Total Paid,Balance,
LS05139509,21/07/2018,HIGH STREET CP - BOSTON SPA                                 ,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,06/05/2021,247,0,
LS07117278,04/09/2018,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,23/04/2021,83,0,
LS07230441,30/10/2018,BECKETT ST UPPER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,23/05/2021,50,0,
LS07230441,30/10/2018,BECKETT ST UPPER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,21/05/2021,50,0,
LS14225816,03/12/2018,MAIN STREET CP - GARFORTH                                   ,87 IN DISABLED BAY WITHOUT BADGE,70,14/05/2021,113,0,
LS12144134,26/01/2019,BURLEY ROAD CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,28/05/2021,83,0,
LS1424219A,26/05/2019,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/05/2021,83,0,
LS00307253,05/08/2019,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,04/05/2021,0,0,
LS00307253,05/08/2019,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/04/2021,0,0,
LS14466470,13/10/2019,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,07/04/2021,83,0,
LS07833855,07/11/2019,PLAYHOUSE SQUARE CP - CITY,86 BEYOND THE BAY MARKINGS                        ,50,13/04/2021,0,0,
LS09950882,22/11/2019,MAIN STREET CP - GARFORTH                                   ,86 BEYOND THE BAY MARKINGS                        ,50,30/04/2021,83,0,
LS09950882,22/11/2019,MAIN STREET CP - GARFORTH                                   ,86 BEYOND THE BAY MARKINGS                        ,50,07/05/2021,83,0,
LS11557605,25/11/2019,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,15/04/2021,3.13,79.87,
LS14868995,02/12/2019,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,07/04/2021,83,0,
LS14868995,02/12/2019,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,12/04/2021,83,0,
LS14868995,02/12/2019,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,15/04/2021,83,0,
LS05797557,20/12/2019,WEST STREET CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,07/05/2021,83,0,
LS05797557,20/12/2019,WEST STREET CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,10/06/2021,83,0,
LS01812240,19/01/2020,WOODHOUSE LANE  CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,30/04/2021,83,0,
LS05252691,23/01/2020,CLUSTER OF NUTS CP - WETHERBY,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,09/04/2021,83,0,
LS05252691,23/01/2020,CLUSTER OF NUTS CP - WETHERBY,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,06/05/2021,83,0,
LS05252691,23/01/2020,CLUSTER OF NUTS CP - WETHERBY,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,13/04/2021,83,0,
LS05252691,23/01/2020,CLUSTER OF NUTS CP - WETHERBY,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,02/06/2021,83,0,
LS12567579,31/01/2020,GLEDHOW ROAD CP - SHEEPSCAR,73 PARKED WITHOUT PAYMENT,50,07/04/2021,83,0,
LS23705084,12/03/2020,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,14/06/2021,83,0,
