PCN,ISSUED,LOCATION,CONTRAVENTION,FINE,
LS21808031,01/04/2021,BURLEY ROAD CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS21808097,01/04/2021,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS22808707,01/04/2021,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS2280873A,01/04/2021,INTERNATIONAL POOL CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS22904551,01/04/2021,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS22904573,01/04/2021,INTERNATIONAL POOL CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,
LS22904584,01/04/2021,INTERNATIONAL POOL CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS24418678,01/04/2021,BECKETT ST UPPER CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,
LS24418689,01/04/2021,BECKETT ST UPPER CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,
LS2441869A,01/04/2021,BECKETT ST UPPER CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS24702398,01/04/2021,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS24702401,01/04/2021,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS24702412,01/04/2021,WOODHOUSE LANE  CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,
LS24702423,01/04/2021,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS25607938,01/04/2021,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS25607949,01/04/2021,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS2560795A,01/04/2021,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS25607960,01/04/2021,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS17115348,03/04/2021,BURLEY ROAD CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS17115359,03/04/2021,BURLEY ROAD CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS18414457,03/04/2021,BURLEY ROAD CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS22904664,03/04/2021,HUNSLET LANE CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS23308608,03/04/2021,BURLEY ROAD CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS23408806,03/04/2021,INTERNATIONAL POOL CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS18212215,06/04/2021,BECKETT ST UPPER CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,
LS18212226,06/04/2021,BECKETT ST UPPER CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,
LS18212237,06/04/2021,BECKETT ST UPPER CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS18212248,06/04/2021,BECKETT ST UPPER CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS22904697,06/04/2021,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS17115552,07/04/2021,HUNSLET LANE CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS17115563,07/04/2021,HUNSLET LANE CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS17209124,07/04/2021,GLEDHOW ROAD CP - SHEEPSCAR,73 PARKED WITHOUT PAYMENT,50,
LS1821226A,07/04/2021,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS18414479,07/04/2021,HUNSLET LANE CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS20704733,07/04/2021,QUEENSWAY CP - MORLEY                                       ,87 IN DISABLED BAY WITHOUT BADGE,70,
LS17115712,08/04/2021,BURLEY ROAD CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS17115723,08/04/2021,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS17209237,08/04/2021,INTERNATIONAL POOL CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS17209248,08/04/2021,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS17209259,08/04/2021,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS17311936,08/04/2021,INTERNATIONAL POOL CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS17311947,08/04/2021,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS17311958,08/04/2021,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS18212328,08/04/2021,BECKETT ST UPPER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS21808202,08/04/2021,BURLEY ROAD CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS21808213,08/04/2021,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS21808224,08/04/2021,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS22112881,08/04/2021,HUNSLET LANE CP - CITY,73 PARKED WITHOUT PAYMENT,50,
